Name	ID pre-miRNA
hsa-miR-520h	MI0003175
hsa-miR-521	MI0003176
hsa-miR-522-5p	MI0003177
hsa-miR-522-3p	MI0003177
hsa-miR-519a-5p	MI0003178
hsa-miR-519a-3p	MI0003178
hsa-miR-527	MI0003179
hsa-miR-516a-5p	MI0003180
hsa-miR-516a-3p	MI0003180
hsa-miR-516a-5p	MI0003181
hsa-miR-516a-3p	MI0003181
hsa-miR-519a-3p	MI0003182
hsa-miR-499a-5p	MI0003183
hsa-miR-499a-3p	MI0003183
hsa-miR-500a-5p	MI0003184
hsa-miR-500a-3p	MI0003184
hsa-miR-501-5p	MI0003185
hsa-miR-501-3p	MI0003185
hsa-miR-502-5p	MI0003186
hsa-miR-502-3p	MI0003186
hsa-miR-450a-5p	MI0003187
hsa-miR-450a-3p	MI0003187
hsa-miR-503	MI0003188
hsa-miR-504	MI0003189
hsa-miR-505-5p	MI0003190
hsa-miR-505-3p	MI0003190
hsa-miR-513a-5p	MI0003191
hsa-miR-513a-3p	MI0003191
hsa-miR-513a-5p	MI0003192
hsa-miR-513a-3p	MI0003192
hsa-miR-506-3p	MI0003193
hsa-miR-506-5p	MI0003193
hsa-miR-507	MI0003194
hsa-miR-508-5p	MI0003195
hsa-miR-508-3p	MI0003195
hsa-miR-509-5p	MI0003196
hsa-miR-509-3p	MI0003196
hsa-miR-510	MI0003197
hsa-miR-514a-3p	MI0003198
hsa-miR-514a-5p	MI0003198
hsa-miR-514a-5p	MI0003199
hsa-miR-514a-3p	MI0003199
hsa-miR-514a-3p	MI0003200
hsa-miR-514a-5p	MI0003200
hsa-miR-532-5p	MI0003205
hsa-miR-532-3p	MI0003205
hsa-miR-455-5p	MI0003513
hsa-miR-455-3p	MI0003513
hsa-miR-539-5p	MI0003514
hsa-miR-539-3p	MI0003514
hsa-miR-544a	MI0003515
hsa-miR-545-5p	MI0003516
hsa-miR-545-3p	MI0003516
hsa-miR-376a-3p	MI0003529
hsa-miR-487b	MI0003530
hsa-miR-551a	MI0003556
hsa-miR-552	MI0003557
hsa-miR-553	MI0003558
hsa-miR-554	MI0003559
hsa-miR-92b-5p	MI0003560
hsa-miR-92b-3p	MI0003560
hsa-miR-555	MI0003561
hsa-miR-556-5p	MI0003562
hsa-miR-556-3p	MI0003562
hsa-miR-557	MI0003563
hsa-miR-558	MI0003564
hsa-miR-559	MI0003565
hsa-miR-561-3p	MI0003567
hsa-miR-561-5p	MI0003567
hsa-miR-562	MI0003568
hsa-miR-563	MI0003569
hsa-miR-564	MI0003570
hsa-miR-566	MI0003572
hsa-miR-567	MI0003573
hsa-miR-568	MI0003574
hsa-miR-551b-5p	MI0003575
hsa-miR-551b-3p	MI0003575
hsa-miR-569	MI0003576
hsa-miR-570-3p	MI0003577
hsa-miR-570-5p	MI0003577
hsa-miR-571	MI0003578
hsa-miR-572	MI0003579
hsa-miR-573	MI0003580
hsa-miR-574-5p	MI0003581
hsa-miR-574-3p	MI0003581
hsa-miR-575	MI0003582
hsa-miR-576-5p	MI0003583
hsa-miR-576-3p	MI0003583
hsa-miR-577	MI0003584
hsa-miR-578	MI0003585
hsa-miR-579	MI0003586
hsa-miR-580	MI0003587
hsa-miR-581	MI0003588
hsa-miR-582-5p	MI0003589
hsa-miR-582-3p	MI0003589
hsa-miR-583	MI0003590
hsa-miR-584-5p	MI0003591
hsa-miR-584-3p	MI0003591
hsa-miR-585	MI0003592
hsa-miR-548a-3p	MI0003593
hsa-miR-586	MI0003594
hsa-miR-587	MI0003595
hsa-miR-548b-5p	MI0003596
hsa-miR-548b-3p	MI0003596
hsa-miR-588	MI0003597
hsa-miR-548a-3p	MI0003598
hsa-miR-589-5p	MI0003599
hsa-miR-589-3p	MI0003599
hsa-miR-550a-5p	MI0003600
hsa-miR-550a-3p	MI0003600
hsa-miR-550a-5p	MI0003601
hsa-miR-550a-3p	MI0003601
hsa-miR-590-5p	MI0003602
hsa-miR-590-3p	MI0003602
hsa-miR-591	MI0003603
hsa-miR-592	MI0003604
hsa-miR-593-5p	MI0003605
hsa-miR-593-3p	MI0003605
hsa-miR-595	MI0003607
hsa-miR-596	MI0003608
hsa-miR-597	MI0003609
hsa-miR-598	MI0003610
hsa-miR-599	MI0003611
hsa-miR-548a-5p	MI0003612
hsa-miR-548a-3p	MI0003612
hsa-miR-600	MI0003613
hsa-miR-601	MI0003614
hsa-miR-602	MI0003615
hsa-miR-603	MI0003616
hsa-miR-604	MI0003617
hsa-miR-605	MI0003618
hsa-miR-606	MI0003619
hsa-miR-607	MI0003620
hsa-miR-608	MI0003621
hsa-miR-609	MI0003622
hsa-miR-610	MI0003623
hsa-miR-611	MI0003624
hsa-miR-612	MI0003625
hsa-miR-613	MI0003626
hsa-miR-614	MI0003627
hsa-miR-615-5p	MI0003628
hsa-miR-615-3p	MI0003628
hsa-miR-616-5p	MI0003629
hsa-miR-616-3p	MI0003629
